# ra   lst   old-ha   new-ha
21.9616138176176 21.7059543257803 -0.294038597865707 0.255659491837299
22.2302073643848 22.5665766126597 0.297172339634292 -0.336369248274927
21.9597835410286 22.8181922191679 0.818266089634292 -0.858408678139263
22.9654613292657 22.9302066753452 -0.0739621004698747 0.035254653920525
2.96039255677 23.021600097902 -3.97831594161571 -20.061207541132
18.960845102289 23.1303113579014 4.13028594640512 -4.16946625561244
20.9612816477871 23.4085173476953 2.40853301671762 -2.44723569990817
1.80124914400626 0.396569788730086 -1.44340383224071 1.40467935527617
2.46106168549742 0.52090008659588 -1.97914601974071 1.94016159890154
2.48065753093716 0.595208800003721 -1.92432831140737 1.88544873093344
22.9979564149898 0.833544540292105 1.79626901932179 22.1644118746977
23.9992357357827 0.975834156346724 0.936869605259292 23.023401579436
2.99988336066172 1.51537951686333 -1.52370982182404 1.48450384379839
3.99966014055636 1.70960342637448 -2.32974823328238 2.29005671418188
